   №,ПРОДУКТ / УСЛУГА ,ОПЕРАЦИЯ,ДБО,ОС,ВЕРСИЯ,ВОПРОС,Видео-инструкция,Инструкция в FAQ,"Инструкция 
на сайте",1,2,3,4,5,6,7,8,9,10,11,12
692,Платежи и переводы,Торговля,МБ,Android,2.43 и выше,"Как оплатить Avon, Faberlic, Oriflame и т.д.",,,,На экране «Платежи» найдите раздел «Оплата услуг» и нажмите «Все» напротив названия раздела.,Нажмите «Торговля»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
693,Платежи и переводы,Торговля,ИБ,,,"Как оплатить Avon, Faberlic, Oriflame, Mary Kay и т.д.",,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Торговля», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать товары еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
694,Платежи и переводы,Охранные системы,МБ,iOS,до 3.23,Как оплатить услуги охранной системы,,,,На экране «Платежи» нажмите «Оплата услуг»,Нажмите «Охранные системы»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
695,Платежи и переводы,Охранные системы,МБ,Android,до 2.43,Как оплатить услуги охранной системы,,,,На экране «Платежи» нажмите «Оплата услуг»,Нажмите «Охранные системы»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
696,Платежи и переводы,Охранные системы,МБ,Android,2.43 и выше,Как оплатить услуги охранной системы,,,,На экране «Платежи» найдите раздел «Оплата услуг» и нажмите «Все» напротив названия раздела.,Нажмите «Охранные системы»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
697,Платежи и переводы,Охранные системы,ИБ,,,Как оплатить услуги охранной системы,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Охранные системы», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать охранные системы еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
698,Платежи и переводы,Страхование,МБ,iOS,до 3.23,Как оплатить услуги страхования,,https://www.open.ru/services/payments#598,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Страхование»,Найдите нужную компанию в списке или введите название в строке поиска. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
699,Платежи и переводы,Страхование,МБ,Android,до 2.43,Как оплатить услуги страхования,,https://www.open.ru/services/payments#598,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Страхование»,Найдите нужную компанию в списке или введите название в строке поиска. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
700,Платежи и переводы,Страхование,МБ,Android,2.43 и выше,Как оплатить услуги страхования,,https://www.open.ru/services/payments#598,,На экране «Платежи» найдите раздел «Оплата услуг» и нажмите «Все» напротив названия раздела.,Нажмите «Страхование»,Найдите нужную компанию в списке или введите название в строке поиска. Нажмите на нее,"Введите данные, сумму платежа и нажмите «Далее»",Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
701,Платежи и переводы,Страхование,ИБ,,,Как оплатить услуги страхования,,https://www.open.ru/services/payments#598,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужного поставщика услуг с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Страхование», а затем выберите поставщика из списка. 
 
 Если поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Продолжить»,Введите сумму платежа и нажмите «Оплатить»,"Чтобы оплачивать услуги страхования еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
702,Платежи и переводы,Туристические услуги,МБ,iOS,до 3.23,Как оплатить туристические услуги,,,,На экране «Платежи» нажмите «Оплата услуг»,Нажмите «Туристические услуги»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
703,Платежи и переводы,Туристические услуги,МБ,Android,до 2.43,Как оплатить туристические услуги,,,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Туристические услуги»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
704,Платежи и переводы,Туристические услуги,МБ,Android,2.43 и выше,Как оплатить туристические услуги,,,,На экране «Платежи» найдите раздел «Оплата услуг» и нажмите «Все» напротив названия раздела.,Нажмите «Туристические услуги»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,"Введите данные, сумму платежа и нажмите «Далее»",Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
705,Платежи и переводы,Туристические услуги,ИБ,,,Как оплатить туристические услуги,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужную компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Туристические услуги», а затем выберите компанию из списка. 
 
 Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать туристические услуги еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
706,Платежи и переводы,Оплата авиа и ж/д билетов,МБ,iOS,до 3.23,Как оплатить авиа и ж/д билеты,,,,На экране «Платежи» нажмите «Оплата услуг»,Нажмите «Авиа и ж/д билеты»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
707,Платежи и переводы,Оплата авиа и ж/д билетов,МБ,Android,до 2.43,Как оплатить авиа и ж/д билеты,,,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Авиа и ж/д билеты»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
708,Платежи и переводы,Оплата авиа и ж/д билетов,МБ,Android,2.43 и выше,Как оплатить авиа и ж/д билеты,,,,На экране «Платежи» найдите раздел «Оплата услуг» и нажмите «Все» напротив названия раздела.,Нажмите «Авиа и ж/д билеты»,Найдите нужную компанию: введите название в строке поиска или найдите его в списке. Нажмите на нее,"Введите данные, сумму платежа и нажмите «Далее»",Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
709,Платежи и переводы,Оплата авиа и ж/д билетов,ИБ,,,Как оплатить авиа и ж/д билеты,,,,Перейдите на вкладку «Платежи и переводы»,"Найдите нужную компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Авиа и ж/д билеты», а затем выберите компанию из списка. 
 
 Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать билеты еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
710,Платежи и переводы,Пенсионные взносы,МБ,iOS,до 3.23,Как оплатить пенсионные взносы,,https://www.open.ru/services/payments#599,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Пенсионные взносы»,Найдите нужную компанию в списке или введите название в строке поиска. Нажмите на нее,Введите данные и нажмите «Далее»,"Выберите источник платежа, введите сумму и нажмите «Далее»",Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,
711,Платежи и переводы,Пенсионные взносы,МБ,Android,до 2.43,Как оплатить пенсионные взносы,,https://www.open.ru/services/payments#599,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Пенсионные взносы»,Найдите нужную компанию в списке или введите название в строке поиска. Нажмите на нее,Введите данные и нажмите «Далее»,"Выберите источник платежа, введите сумму и нажмите «Далее»",Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,
712,Платежи и переводы,Пенсионные взносы,МБ,Android,2.43 и выше,Как оплатить пенсионные взносы,,https://www.open.ru/services/payments#599,,На экране «Платежи» найдите раздел «Оплата услуг» и нажмите «Все» напротив названия раздела.,Нажмите «Пенсионные взносы»,Найдите нужную компанию в списке или введите название в строке поиска. Нажмите на нее,Введите данные и нажмите «Далее»,"Выберите источник платежа, введите сумму и нажмите «Далее»",Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,
713,Платежи и переводы,Пенсионные взносы,ИБ,,,Как оплатить пенсионные взносы,,https://www.open.ru/services/payments#599,,Перейдите на вкладку «Платежи и переводы»,"Найдите компанию с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Авиа и ж/д билеты», а затем выберите компанию из списка. 
 
 Если нужную компанию не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Продолжить» или «Оплатить»,Введите SMS-код для подтверждения,"Чтобы оплачивать пенсионнные взносы еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
714,Платежи и переводы,Поиск поставщика,МБ,iOS,до 3.23,Как найти и оплатить услуги поставщика,,https://www.open.ru/mobile_open_ru#2274 https://www.open.ru/services/payments#588 ,,На экране «Платежи» нажмите «Оплатить услуги»,Введите название поставщика или услуги в поисковой строке,"Если в поиске нашлась нужная компания, нажмите на нее. Если поставщика нет в списке, необходимо совершить оплату по реквизитам","Введите необходимые данные, сумму и нажмите  «Далее»",Подтвердите действие — нажмите «Продолжить».,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
715,Платежи и переводы,Поиск поставщика,МБ,Android,до 2.43,Как найти и оплатить услуги поставщика,,https://www.open.ru/mobile_open_ru#2274 https://www.open.ru/services/payments#588 ,,На экране «Платежи» нажмите «Оплатить услуги»,Введите название поставщика или услуги в поисковой строке,"Если в поиске нашлась нужная компания, нажмите на нее. Если поставщика нет в списке, необходимо совершить оплату по реквизитам","Введите необходимые данные, сумму и нажмите  «Далее»",Подтвердите действие — нажмите «Продолжить».,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
716,Платежи и переводы,Поиск поставщика,МБ,Android,2.43 и выше,Как найти и оплатить услуги поставщика,,https://www.open.ru/mobile_open_ru#2274 https://www.open.ru/services/payments#588 ,,Перейдите на экран «Платежи».,Введите название поставщика или услуги в поисковой строке в верхней части экрана,"Если в поиске нашлась нужная компания, нажмите на нее. Если поставщика нет в списке, необходимо совершить оплату по реквизитам","Введите необходимые данные, сумму и нажмите  «Далее»","Подтвердите действие — нажмите «Оплатить».
","После совершения платежа можно создать шаблон, автоплатеж или посмотреть чек",,,,,,
717,Платежи и переводы,Поиск поставщика,ИБ,,,Как найти и оплатить услуги поставщика,,https://www.open.ru/services/payments#588 https://www.open.ru/internetbank#2304 ,,Перейдите на вкладку «Платежи и переводы»,"Найдите поставщика услуг с помощью поиска по названию/ИНН. 
 
 Если нужного поставщика не удалось найти, оплатите услуги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».","Введите необходимые данные, сумму и нажмите «Оплатить»",Введите SMS-код для подтверждения операции,"Чтобы оплачивать услуги еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
718,Платежи и переводы,Поиск поставщика,МБ,Android,2.43 и выше,Как посмотреть информацию о поставщике услуг,,https://www.open.ru/services/payments#2837,,Перейдите на экран «Платежи».,Выберите одну из категорий в разделе «Оплата услуг»,Выберите поставщика услуг,Введите номер договора и сумму платежа,Нажмите «Информация об услуге»,,,,,,,
719,Платежи и переводы,Благотворительность,МБ,iOS,до 3.23,Как перевести деньги на благотворительность,,https://www.open.ru/services/payments#600,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Благотворительность»,Выберите нужный фонд в списке или найдите по названию в строке поиска,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
720,Платежи и переводы,Благотворительность,МБ,Android,до 2.43,Как перевести деньги на благотворительность,,https://www.open.ru/services/payments#600,,На экране «Платежи» нажмите «Оплатить услуги»,Нажмите «Благотворительность»,Выберите нужный фонд в списке или найдите по названию в строке поиска,Введите данные и нажмите «Далее»,Нажмите «Продолжить»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,
721,Платежи и переводы,Благотворительность,МБ,Android,2.43 и выше,Как перевести деньги на благотворительность,,https://www.open.ru/services/payments#600,,На экране «Платежи» найдите раздел «Оплата услуг» и нажмите «Все» напротив названия раздела.,Нажмите «Благотворительность»,Выберите нужный фонд в списке или найдите по названию в строке поиска,"Введите данные, сумму пожертвования и нажмите «Далее»",Нажмите «Оплатить»,Введите SMS-код для подтверждения,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,
722,Платежи и переводы,Благотворительность,ИБ,,,Как перевести деньги на благотворительность,,https://www.open.ru/services/payments#600,,Перейдите на вкладку «Платежи и переводы»,"Найдите благотворительный фонд с помощью поиска по названию/ИНН или в разделе «Платежи» нажмите «Благотворительность», а затем выберите нужный фонд из списка. 
 
 Если нужную фонд не удалось найти, переведите деньги по реквизитам. Для этого нажмите на кнопку «Перевести по реквизитам» под текстом «Ничего не найдено».",Введите данные и нажмите «Оплатить»,Введите SMS-код для подтверждения,"Чтобы переводить деньги на благотворительность еще быстрее, создайте шаблон для платежа или настройте автоплатеж: платеж будет отправляться автоматически по расписанию, которое вы зададите.",,,,,,,
723,Платежи и переводы,По номеру телефона,МБ,All,,Как разрешить получение переводов по номеру телефона,https://youtu.be/aONV3QEVTwc,https://www.open.ru/services/payments#603,,На экране «Профиль» нажмите «Переводы»,"Нажмите на кнопку, чтобы разрешить получение переводов по номеру телефона","Теперь вы сможете выбрать, на какой счет вы хотите получать переводы из других банков по номеру телефона, а также установить «Открытие» банком по умолчанию",,,,,,,,,
724,Платежи и переводы,По номеру телефона,ИБ,,,Как разрешить переводы по номеру телефона,,https://www.open.ru/services/payments#603,,Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу,Нажмите «Настройки переводов»,"Назмите на кнопку напротив текста «Разрешить получение переводов по номеру телефона» — вы сможете получать переводы по номеру телефона из других банков через Систему быстрых платежей и внутри банка, с карт «Открытия»",Выберите счет для получения переводов,,,,,,,,
725,Платежи и переводы,По номеру телефона,МБ,iOS,до 3.23,Как перевести деньги по номеру телефона в другой банк,https://youtu.be/cgY-fvhDQFo,https://www.open.ru/services/payments#604 https://www.open.ru/mobile_open_ru#1130,https://mobile.open.ru#1130,На экране «Платежи» нажмите «По номеру телефона»,"Введите номер телефона или выберите из списка ваших контактов, для этого нажмите на синюю иконку в строке «Номер телефона получателя».","Если у приложения нет доступа к вашим контактам, нажмите «Разрешить»",Выберите контакт,"Выберите банк получателя, введите сумму и нажмите «Далее»",Нажмите «Перевести»,После совершения платежа можно создать шаблон или посмотреть квитанцию,,,,,
726,Платежи и переводы,По номеру телефона,МБ,Android,до 2.43,Как перевести деньги по номеру телефона в другой банк,https://youtu.be/cgY-fvhDQFo,https://www.open.ru/services/payments#604 https://www.open.ru/mobile_open_ru#1130,https://mobile.open.ru#1130,На экране «Платежи» нажмите «По номеру телефона»,"Введите номер телефона или выберите из списка ваших контактов, для этого нажмите на синюю иконку в строке «Номер телефона получателя».","Если у приложения нет доступа к вашим контактам, нажмите «Разрешить»",Выберите контакт,"Выберите банк получателя, введите сумму и нажмите «Далее»",Нажмите «Перевести»,После совершения платежа можно создать шаблон или посмотреть квитанцию,,,,,
727,Платежи и переводы,По номеру телефона,МБ,Android,2.43 и выше,Как перевести деньги по номеру телефона в другой банк,https://youtu.be/cgY-fvhDQFo,https://www.open.ru/services/payments#604 https://www.open.ru/mobile_open_ru#1130,https://mobile.open.ru#1130,На экране «Платежи» найдите раздел «Переводы» и нажмите «По номеру телефона».,"Введите номер телефона или выберите из списка ваших контактов, для этого нажмите на серую иконку в строке «Номер телефона».","Если у приложения нет доступа к вашим контактам, нажмите «Разрешить»",Выберите контакт,"Выберите банк получателя, введите сумму и нажмите «Далее»",Нажмите «Перевести»,После совершения платежа можно создать шаблон или посмотреть квитанцию,,,,,
728,Платежи и переводы,По номеру телефона,МБ,Android,2.43 и выше,Как отправить клиенту Сбербанка инструкцию по подключению к Системе быстрых платежей (СБП),,,,"Если у клиента Сбербанка не подключена Система быстрых платежей (СБП), при попытке совершить перевод вы увидите предупреждение об этом. Чтобы отправить получателю ссылку с инструкцией по подключению к СБП, нажмите на иконку вопроса рядом с предупреждением.",В открывшемся окне нажмите «Отправить ссылку» и выберите способ отправки.,,,,,,,,,,
729,Платежи и переводы,По номеру телефона,МБ,All,,Как отключить переводы на карту через Систему быстрых платежей,,,,На экране «Профиль» нажмите «Переводы».,Передвиньте ползунок «Разрешить получение переводов по номеру телефона».,,,,,,,,,,
730,Платежи и переводы,По номеру телефона,ИБ,,,Как отключить переводы на карту через Систему быстрых платежей,,,,Нажмите на имя со значком шестеренки в правом верхнем углу.,Перейдите на вкладку «Переводы».,Передвиньте ползунок «Разрешить получение переводов по номеру телефона».,,,,,,,,,
731,Платежи и переводы,По номеру телефона,ИБ,,,Как перевести деньги по номеру телефона в другой банк,,https://www.open.ru/services/payments#604 https://www.open.ru/internetbank#2296 ,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод по номеру телефона»,"Выберите, откуда перевсти деньги, введите номер телефона получателя, выберие банк получателя, сумму перевода и нажмите «Перевести»",Введите SMS-код для подтверждения,"Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.",,,,,,,
732,Платежи и переводы,Переводы на карту,МБ,iOS,до 3.23,Как перевести деньги другому человеку или себе на карту другого банка,,https://www.open.ru/services/payments#602 https://www.open.ru/mobile_open_ru#1132,https://mobile.open.ru#1133,На экране «Платежи» нажмите «С карты на карту»,"Выберите источник перевода и укажите получателя, либо выберите “На другую карту”",Укажите номер карты и введите сумму. Нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
733,Платежи и переводы,Переводы на карту,МБ,Android,до 2.43,Как перевести деньги другому человеку или себе на карту другого банка,,https://www.open.ru/services/payments#602 https://www.open.ru/mobile_open_ru#1132,https://mobile.open.ru#1133,На экране «Платежи» нажмите «С карты на карту»,"Выберите источник перевода и укажите получателя, либо выберите “На другую карту”",Укажите номер карты и введите сумму. Нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
734,Платежи и переводы,Переводы на карту,МБ,Android,2.43 и выше,Как перевести деньги другому человеку или себе на карту другого банка,,https://www.open.ru/services/payments#602 https://www.open.ru/mobile_open_ru#1132,https://mobile.open.ru#1133,На экране «Платежи» найдите раздел «Переводы» и нажмите «С карты на карту».,"Выберите источник перевода и укажите получателя, либо выберите «На другую карту»",Укажите номер карты и введите сумму. Нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
735,Платежи и переводы,На счет физлица,МБ,iOS,до 3.23,Как перевести деньги другому человеку или себе на счет в другом банке (по реквизитам),,https://www.open.ru/services/payments#1047 https://www.open.ru/mobile_open_ru#1135 https://www.open.ru/mobile_open_ru#2273,https://mobile.open.ru#1135,На экране «Платежи» нажмите «По реквизитам»,"Выберите источник перевода, введите данные получателя",Нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
736,Платежи и переводы,На счет физлица,МБ,Android,до 2.43,Как перевести деньги другому человеку или себе на счет в другом банке (по реквизитам),,https://www.open.ru/services/payments#1047 https://www.open.ru/mobile_open_ru#1135 https://www.open.ru/mobile_open_ru#2273,https://mobile.open.ru#1135,На экране «Платежи» нажмите «По реквизитам»,"Выберите источник перевода, введите данные получателя",Нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
737,Платежи и переводы,На счет физлица,МБ,Android,2.43 и выше,Как перевести деньги другому человеку или себе на счет в другом банке (по реквизитам),,https://www.open.ru/services/payments#1047 https://www.open.ru/mobile_open_ru#1135 https://www.open.ru/mobile_open_ru#2273,https://mobile.open.ru#1135,На экране «Платежи» найдите раздел «Переводы» и нажмите «По реквизитам»,"Выберите источник перевода, введите данные получателя",Нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
738,Платежи и переводы,На счет физлица,ИБ,,,Как перевести деньги другому человеку или себе на счет в другом банке по реквизитам,,https://www.open.ru/services/payments#1047,,Перейдите на вкладку «Платежи и переводы»,В разделе «Переводы» нажмите «Перевод по реквизитам»,"Введите номер счета получателя, БИК, сумму, укажите назначение платежа и вид выплат. Нажмите «Перевести»",Введите SMS-код для подтверждения,"Перевод принят в обработку. Вы можете посмотреть квитанцию, создать шаблон, настроить автоплатеж или повторить перевод.",,,,,,,
741,Платежи и переводы,С карты на карту,МБ,Android,2.43 и выше,Как перевести деньги с карты на карту,,https://www.open.ru/services/payments#602,https://mobile.open.ru#1132,На экране «Платежи» найдите раздел «Переводы» и нажмите «С карты на карту».,"Выберите карту, с которой хотите перевести деньги и карту, на которую хотите отправить платеж. Если переводите не со своей карты «Открытие», не забудьте ввести срок действия карты и cvv-код.",Введите сумму и нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
739,Платежи и переводы,С карты на карту,МБ,iOS,до 3.23,Как перевести деньги с карты на карту,,https://www.open.ru/services/payments#602,https://mobile.open.ru#1132,На экране «Платежи» нажмите «С карты на карту»,"Выберите карту, с которой хотите перевести деньги и карту, на которую хотите отправить платеж. Если переводите не со своей карты «Открытие», не забудьте ввести срок действия карты и cvv-код.",Введите сумму и нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
740,Платежи и переводы,С карты на карту,МБ,Android,до 2.43,Как перевести деньги с карты на карту,,https://www.open.ru/services/payments#602,https://mobile.open.ru#1132,На экране «Платежи» нажмите «С карты на карту»,"Выберите карту, с которой хотите перевести деньги и карту, на которую хотите отправить платеж. Если переводите не со своей карты «Открытие», не забудьте ввести срок действия карты и cvv-код.",Введите сумму и нажмите «Далее»,Нажмите «Перевести»,"После совершения платежа можно создать шаблон, автоплатеж или посмотреть квитанцию",,,,,,,
